name	title	country	host	date	country_labeled
PV218257.1	"Influenza A virus (A/Canada Goose/IL/25-000616-008-original/2025(H5N2)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Branta canadensis"	2025-XX-XX	USA
PV218305.1	"Influenza A virus (A/Flamingo/IL/25-001100-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Phoenicopterus roseus"	2025-XX-XX	USA
PV218329.1	"Influenza A virus (A/Guineafowl/TN/25-001531-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Numididae sp."	2025-XX-XX	USA
PV218337.1	"Influenza A virus (A/Serval/MI/25-000950-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Leptailurus serval"	2025-XX-XX	USA
PV218465.1	"Influenza A virus (A/Turkey/OH/25-001329-003-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Meleagris gallopavo"	2025-XX-XX	USA
PV219009.1	"Influenza A virus (A/chicken/FL/25-001073-003-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-XX-XX	USA
PV219041.1	"Influenza A virus (A/chicken/IN/25-001513-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-XX-XX	USA
PV219105.1	"Influenza A virus (A/chicken/MO/25-001087-002-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-XX-XX	USA
PV210072.1	"Influenza A virus (A/chicken/Bangladesh/CE-111-06-DB-17-BR-O/2023(H5N2)) segment 4 hemagglutinin (HA) gene, partial cds"	Bangladesh	"Gallus gallus"	2023-01-31	Bangladesh
PP426567.1	"Influenza A virus (A/Nasua nasua/Uruguay/145M1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Uruguay	"Nasua nasua"	2023-05-04	Uruguay
PP426575.1	"Influenza A virus (A/Nasua nasua/Uruguay/145M2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Uruguay	"Nasua nasua"	2023-05-04	Uruguay
PP426583.1	"Influenza A virus (A/Nasua nasua/Uruguay/146M1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Uruguay	"Nasua nasua"	2023-05-05	Uruguay
PV187979.1	"Influenza A virus (A/turkey/Germany-BW/2025AI00222/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Germany	"Meleagris gallopavo"	2025-01-12	Germany
PV163164.1	"Influenza A virus (A/Brown skua/Torgersen Island/o81-b82/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Antarctica	"Stercorarius lonnbergi"	2024-12-XX	Antarctica
PV162175.1	"Influenza A virus (A/chicken/MS/24-038969-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2024-12-27	USA
PV162255.1	"Influenza A virus (A/chicken/OR/25-000540-001-original/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2025-01-05	USA
PV072333.1	"Influenza A virus (A/chicken/MO/24-037561-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2024-12-14	USA
PP502509.1	"Influenza A virus (A/rosy-billed pochard/Argentina/CIP112-3449/2017(H5N3)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Netta peposaca"	2017-06-14	Argentina
PV033329.1	"Influenza A virus (A/England/0480160/2025(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"United Kingdom"	"Homo sapiens"	2025-01-XX	"United Kingdom"
PQ827781.1	"Influenza A virus (A/Mallard/MN/24-006961-018-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2024-02-28	USA
PQ831733.1	"Influenza A virus (A/cattle/CA/24-037216-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-11-28	USA
PQ832573.1	"Influenza A virus (A/cattle/TX/24-021589-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-07-23	USA
PQ797873.1	"Influenza A virus (A/chicken/CA/24-031862-010-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gallus gallus"	2024-10-27	USA
PQ701353.1	"Influenza A virus (A/American crow/CO/23-001476-001-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Corvus brachyrhynchos"	2023-01-05	USA
PQ701641.1	"Influenza A virus (A/American green-winged teal/AK/22-031399-019-original-repeat/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas carolinensis"	2022-09-02	USA
PQ705249.1	"Influenza A virus (A/Black Vulture/MS/23-001343-009-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Aegypius monachus"	2023-01-09	USA
PQ706129.1	"Influenza A virus (A/Blue-winged teal/MN/23-005533-026-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Spatula discors"	2022-09-16	USA
PQ706545.1	"Influenza A virus (A/Blue-winged teal/TX/22-033479-012-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Spatula discors"	2022-09-22	USA
PQ707033.1	"Influenza A virus (A/California condor/AZ/23-012522-002-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Gymnogyps californianus"	2023-04-18	USA
PQ711617.1	"Influenza A virus (A/Great horned owl/MT/22-018474-002-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bubo virginianus"	2022-06-09	USA
PQ713585.1	"Influenza A virus (A/Mallard/MT/23-030445-015-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anas platyrhynchos"	2023-09-30	USA
PQ715961.1	"Influenza A virus (A/Red-tailed hawk/CO/23-004224-001-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Buteo jamaicensis"	2023-01-31	USA
PQ716017.1	"Influenza A virus (A/Red-tailed hawk/KS/22-039690-012-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Buteo jamaicensis"	2022-11-29	USA
PQ717465.1	"Influenza A virus (A/Snow goose/CA/22-042007-001-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anser caerulescens"	2022-12-14	USA
PQ718089.1	"Influenza A virus (A/Snow goose/MS/22-038821-025-original/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Anser caerulescens"	2022-11-23	USA
PQ718721.1	"Influenza A virus (A/Trumpeter Swan/IA/23-002039-001-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA		2023-01-12	USA
PQ719169.1	"Influenza A virus (A/Turkey Vulture/NV/23-002599-004-original/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Cathartes aura"	2023-01-10	USA
PQ643771.1	"Influenza A virus (A/Chroicocephalus ridibundus/Neerach/V0559/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Switzerland	"Chroicocephalus ridibundus"	2023-05-09	Switzerland
PQ500558.1	"Influenza A virus (A/South American Sea Lion, Otaria flavescens/Punta Loma Natural Reserve/NEC 85/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Otaria byronia"	2023-09-21	Argentina
PQ500559.1	"Influenza A virus (A/South American Sea Lion, Otaria flavescens/Cerro Avanzado beach./NEC 86/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Otaria byronia"	2023-09-29	Argentina
PQ500560.1	"Influenza A virus (A/Southern Elephant Seal, Mirounga leonina/Peninsula Valdes./NEC 94/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Mirounga leonina"	2023-10-12	Argentina
PQ500561.1	"Influenza A virus (A/South American Sea Lion, Otaria flavescens/Kaiser beach/NEC 93/2023(H5N1)) segment 4 hemagglutinin, HA2 region, (HA) gene, partial cds"	Argentina	"Otaria byronia"	2023-08-29	Argentina
PP488313.1	"Influenza A virus (A/southern elephant seal/Argentina/CH-PD035/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PP488321.1	"Influenza A virus (A/southern elephant seal/Argentina/CH-PM053/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-11-01	Argentina
PP488329.1	"Influenza A virus (A/South American tern/Argentina/CH-PD030/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Sterna hirundinacea"	2023-10-10	Argentina
PP488337.1	"Influenza A virus (A/royal tern/Argentina/CH-PD036/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Thalasseus maximus"	2023-10-10	Argentina
PP488345.1	"Influenza A virus (A/South American tern/Argentina/CH-PD037/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Sterna hirundinacea"	2023-10-10	Argentina
PQ002114.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD027/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002122.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_oral/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002130.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_tracheal/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002138.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_lung/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002146.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_brain/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ002154.1	"Influenza A virus (A/Southern elephant seal/Peninsula Valdes/HA_CH-PD032_rectal/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Argentina	"Mirounga leonina"	2023-10-10	Argentina
PQ379407.1	"Influenza A virus (A/cattle/MN/24-017652-005-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-06-14	USA
PQ338025.1	"Influenza A virus (A/slender-billed parakeet/Araucania /242881-1/2023(H5Nx)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Enicognathus leptorhynchus"	2023-03-17	Chile
PQ304209.1	"Influenza A virus (A/Sanderling/CHL/230758-2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Calidris alba"	2023-03-17	Chile
PQ304221.1	"Influenza A virus (A/turkey/Valparaiso/248976-12/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-04-13	Chile
PQ304239.1	"Influenza A virus (A/South American sea lion/Los Lagos/247932/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-04-09	Chile
PQ304256.1	"Influenza A virus (A/kelp gull/Valparaiso/236011-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Larus dominicanus"	2023-02-09	Chile
PQ304273.1	"Influenza A virus (A/turkey/Valparaiso/248976-13/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-04-13	Chile
PQ304425.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU3/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304435.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU2/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304440.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU1/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304488.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU5/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304566.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU5L/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ304584.1	"Influenza A virus (A/South polar skua/Antarctica/INACH-UC-UCHILE-SKU4/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Stercorarius maccormicki"	2024-03-03	Chile
PQ305000.1	"Influenza A virus (A/turkey/Valparaiso/245886-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-30	Chile
PQ305002.1	"Influenza A virus (A/South American sea lion/Tarapaca/245719-10/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-03-30	Chile
PQ305010.1	"Influenza A virus (A/Peruvian booby/Coquimbo/242304/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Sula variegata"	2023-03-15	Chile
PQ305024.1	"Influenza A virus (A/turkey/Valparaiso/245886-5/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-30	Chile
PQ305058.1	"Influenza A virus (A/turkey/Valparaiso/245886-3/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Meleagris gallopavo"	2023-03-30	Chile
PQ295907.1	"Influenza A virus (A/Antofagasta/25945/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Homo sapiens"	2023-03-24	Chile
PQ300675.1	"Influenza A virus (A/Guanay cormorant/CHL/239584/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Leucocarbo bougainvillii"	2023-03-01	Chile
PQ300685.1	"Influenza A virus (A/Sanderling/Arica y Parinacota/240265/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Calidris alba"	2023-03-03	Chile
PQ300698.1	"Influenza A virus (A/South American sea lion/Arica y Parinacota/240270-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-03-01	Chile
PQ300706.1	"Influenza A virus (A/South American sea lion/Atacama/242444-1/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Otaria byronia"	2023-03-13	Chile
PQ300707.1	"Influenza A virus (A/Pelican/CHL/229424-4/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	Pelecanus	2022-12-22	Chile
PQ300721.1	"Influenza A virus (A/Chungungo/CHL/241436/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Lontra felina"	2023-03-10	Chile
PQ300731.1	"Influenza A virus (A/Burmeister's porpoise/CHL/246506-2/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Chile	"Phocoena spinipinnis"	2023-03-31	Chile
PQ288091.1	"Influenza A virus (A/cattle/MI/24-012314-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-04-24	USA
PP763699.1	"Influenza A virus (A/Avian/Nigeria/GF14-16C HA/2022(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	Nigeria	Aves	2022-08-02	Nigeria
PQ135749.1	"Influenza A virus (A/cattle/MN/24-016523-029-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	USA	"Bos taurus"	2024-06-04	USA
PQ129506.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/8/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-08	"South Georgia Island"
PQ129514.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/16/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-08	"South Georgia Island"
PQ129522.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/24/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-08	"South Georgia Island"
PQ113933.1	"Influenza A virus (A/Southern Fulmar/South Georgia and the South Sandwich Islands/4/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"		2023-10-30	"South Georgia Island"
PQ113941.1	"Influenza A virus (A/Southern Fulmar/South Georgia and the South Sandwich Islands/12/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"		2023-11-14	"South Georgia Island"
PQ113953.1	"Influenza A virus (A/Southern Elephant Seal/South Georgia and the South Sandwich Islands/24/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Mirounga leonina"	2023-12-09	"South Georgia Island"
PQ113961.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/32/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-11-03	"South Georgia Island"
PQ113969.1	"Influenza A virus (A/Antarctic Tern/South Georgia and the South Sandwich Islands/40/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Sterna vittata"	2023-12-06	"South Georgia Island"
PQ113977.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/48/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-31	"South Georgia Island"
PQ113985.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/56/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-10-31	"South Georgia Island"
PQ113993.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/64/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-31	"South Georgia Island"
PQ114001.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/72/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-11-08	"South Georgia Island"
PQ114009.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/80/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-11-08	"South Georgia Island"
PQ114017.1	"Influenza A virus (A/South Georgia Shag/South Georgia and the South Sandwich Islands/88/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Leucocarbo georgianus"	2023-11-27	"South Georgia Island"
PQ114025.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/96/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-30	"South Georgia Island"
PQ114033.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/104/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-11-15	"South Georgia Island"
PQ114041.1	"Influenza A virus (A/Brown Skua/South Georgia and the South Sandwich Islands/112/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Stercorarius lonnbergi"	2023-10-30	"South Georgia Island"
PQ114049.1	"Influenza A virus (A/Southern Elephant Seal/South Georgia and the South Sandwich Islands/120/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Mirounga leonina"	2023-12-09	"South Georgia Island"
PQ114057.1	"Influenza A virus (A/Antarctic Fur Seal/South Georgia and the South Sandwich Islands/128/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Arctocephalus gazella"	2023-12-09	"South Georgia Island"
PQ114065.1	"Influenza A virus (A/Kelp Gull/South Georgia and the South Sandwich Islands/136/2023(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"	"South Georgia and the South Sandwich Islands"	"Larus dominicanus"	2023-11-08	"South Georgia Island"
